Employee_ID,First_Name,Last_Name,Age,Department_Region,Status,Join_Date,Salary,Email,Phone,Performance_Score,Bonus,Bouns,Total_Salary
EMP1000,Bob,Davis,25.0,IT,Active,4/2/2021,20000.0,bob.davis@example.com,-1651623197,Average,5976.765,5000,64767.65
EMP1003,Eva,Davis,25.0,Admin-Nevada,Inactive,11/27/2021,69450.99,eva.davis@example.com,-3476490784,Good,6945.099000000001,5000,74450.99
EMP1005,Alice,Garcia,40.0,Sales-Texas,Inactive,6/10/2020,88642.84,alice.garcia@example.com,-5409003485,Good,8864.284,5000,93642.84
EMP1007,Bob,Jones,30.0,Cloud Tech-Florida,Inactive,7/17/2022,94497.91,bob.jones@example.com,-4134327559,Average,9449.791000000001,5000,99497.91
EMP1008,Frank,Davis,35.0,Admin-Nevada,Inactive,12/8/2023,115565.82,frank.davis@example.com,-4177656123,Excellent,11556.582000000002,5000,120565.82
EMP1010,David,Williams,35.0,Cloud Tech-New York,Active,7/6/2024,72081.71,david.williams@example.com,-2720634590,Average,7208.171000000001,5000,77081.71
EMP1012,Heidi,Williams,30.0,HR-New York,Active,3/5/2024,89295.77,heidi.williams@example.com,-2429543164,Excellent,8929.577000000001,5000,94295.77
EMP1014,Alice,Garcia,25.0,Admin-Nevada,Active,6/10/2024,97633.68,alice.garcia@example.com,-1734206968,Excellent,9763.368,5000,102633.68
EMP1015,Grace,Jones,40.0,Sales-Florida,Pending,5/29/2021,117975.49,grace.jones@example.com,-4215291085,Good,11797.549,5000,122975.49
EMP1016,Alice,Brown,25.0,DevOps-Illinois,Inactive,4/23/2024,94867.33,alice.brown@example.com,-7713334475,Poor,9486.733,5000,99867.33
EMP1017,Grace,Garcia,30.0,Finance-Texas,Pending,11/28/2024,100377.65,grace.garcia@example.com,-2639343625,Average,10037.765,5000,105377.65
EMP1019,Charlie,Williams,35.0,Admin-Illinois,Pending,1/2/2020,91926.12,charlie.williams@example.com,-7107256365,Average,9192.612,5000,96926.12
EMP1020,Bob,Miller,35.0,HR-New York,Active,5/8/2021,111460.67,bob.miller@example.com,-9411800536,Excellent,11146.067000000001,5000,116460.67
EMP1021,Bob,Jones,40.0,Cloud Tech-Illinois,Active,9/19/2020,96182.56,bob.jones@example.com,-5990048963,Good,9618.256,5000,101182.56
EMP1022,Charlie,Johnson,35.0,Sales-Illinois,Inactive,3/9/2021,115023.94,charlie.johnson@example.com,-6528092427,Average,11502.394,5000,120023.94
EMP1023,David,Garcia,35.0,Finance-Nevada,Pending,2/3/2022,80667.01,david.garcia@example.com,-7572158623,Excellent,8066.701,5000,85667.01
EMP1024,Bob,Brown,30.0,Admin-Texas,Inactive,2/13/2020,91181.61,bob.brown@example.com,-1502745643,Good,9118.161,5000,96181.61
EMP1025,David,Miller,25.0,Cloud Tech-Nevada,Pending,4/30/2020,66025.92,david.miller@example.com,-9485625727,Average,6602.592000000001,5000,71025.92
EMP1026,Frank,Miller,25.0,Sales-New York,Inactive,10/2/2023,83979.01,frank.miller@example.com,-7032032073,Average,8397.901,5000,88979.01
EMP1027,Heidi,Johnson,30.0,Finance-Florida,Active,7/12/2020,56785.16,heidi.johnson@example.com,-2761707586,Excellent,5678.5160000000005,5000,61785.16
EMP1028,Grace,Garcia,40.0,Finance-Nevada,Active,10/11/2023,95741.88,grace.garcia@example.com,-7712151341,Excellent,9574.188,5000,100741.88
EMP1029,Alice,Brown,40.0,DevOps-California,Active,5/24/2021,63411.31,alice.brown@example.com,-2849939088,Excellent,6341.131,5000,68411.31
EMP1030,Charlie,Jones,40.0,Admin-California,Inactive,5/26/2021,111214.02,charlie.jones@example.com,-2613715040,Good,11121.402000000002,5000,116214.02
EMP1031,Bob,Smith,25.0,DevOps-Illinois,Active,7/10/2020,114845.69,bob.smith@example.com,-6591520176,Excellent,11484.569000000001,5000,119845.69
EMP1032,Charlie,Brown,40.0,Finance-Florida,Active,11/5/2024,78072.82,charlie.brown@example.com,-7490509758,Average,7807.282000000001,5000,83072.82
EMP1033,Grace,Johnson,25.0,Finance-California,Inactive,8/7/2021,79610.52,grace.johnson@example.com,-2304501895,Average,7961.052000000001,5000,84610.52
EMP1034,Heidi,Miller,30.0,Admin-California,Active,4/29/2020,90542.62,heidi.miller@example.com,-1642361031,Excellent,9054.262,5000,95542.62
EMP1035,Frank,Jones,25.0,Cloud Tech-Illinois,Inactive,10/26/2022,114357.1,frank.jones@example.com,-6642147648,Excellent,11435.710000000001,5000,119357.1
EMP1037,Grace,Smith,25.0,Sales-New York,Pending,5/2/2023,52781.92,grace.smith@example.com,-4996165925,Average,5278.192,5000,57781.92
EMP1038,Frank,Smith,35.0,Admin-Nevada,Pending,10/5/2021,66708.02,frank.smith@example.com,-6108573277,Good,6670.802000000001,5000,71708.02
EMP1039,Eva,Williams,40.0,HR-Texas,Active,7/27/2022,93481.15,eva.williams@example.com,-8147617421,Poor,9348.115,5000,98481.15
EMP1040,Bob,Williams,25.0,Sales-New York,Pending,6/27/2021,59271.96,bob.williams@example.com,-4386490809,Excellent,5927.196,5000,64271.96
EMP1041,Bob,Davis,30.0,HR-California,Active,6/16/2022,108362.15,bob.davis@example.com,-8186617944,Excellent,10836.215,5000,113362.15
EMP1045,Alice,Brown,25.0,HR-New York,Pending,6/20/2021,61310.74,alice.brown@example.com,-61027768,Average,6131.0740000000005,5000,66310.73999999999
EMP1047,Alice,Davis,35.0,Sales-Illinois,Active,5/30/2022,58921.19,alice.davis@example.com,-310303722,Average,5892.119000000001,5000,63921.19
EMP1048,Alice,Miller,35.0,Admin-Nevada,Active,9/27/2023,57195.55,alice.miller@example.com,-6831472759,Excellent,5719.555,5000,62195.55
EMP1050,Charlie,Davis,40.0,Cloud Tech-New York,Pending,11/11/2021,104767.05,charlie.davis@example.com,-3496050165,Excellent,10476.705000000002,5000,109767.05
EMP1051,David,Miller,35.0,Admin-Nevada,Active,2/22/2022,111051.67,david.miller@example.com,-7998407677,Good,11105.167000000001,5000,116051.67
EMP1052,David,Williams,30.0,Finance-California,Inactive,8/7/2024,105674.18,david.williams@example.com,-9973080694,Good,10567.418,5000,110674.18
EMP1053,Alice,Brown,30.0,Finance-California,Inactive,11/5/2024,54859.45,alice.brown@example.com,-8146717956,Average,5485.945,5000,59859.45
EMP1055,Eva,Brown,30.0,Sales-California,Active,8/10/2020,91759.99,eva.brown@example.com,-3959724664,Excellent,9175.999000000002,5000,96759.99
EMP1056,Frank,Garcia,40.0,Sales-Illinois,Active,2/27/2022,112965.33,frank.garcia@example.com,-7293417222,Good,11296.533000000001,5000,117965.33
